mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
47,13178077,13181785,Aspects,Geometry Group,,cc2e0274-1098-514e-bd12-209a914230ab,,,,,,,,,
48,13187703,13191402,Aspects,Geometry Group,,05145dce-00e8-5ef9-9c6d-e8db489a363f,,,,,,,,,
49,13197547,13199243,Geometry,Geometry Group,,,,,,,,,,,
50,13208618,13213167,Flange-0081,Geometry Group,,24994913-4087-5e9c-a915-fee52c05f10b,,,,,,,,,
51,13213624,13218173,Flange-0107,Geometry Group,,35083f40-b1a1-5b36-9675-b1a0a5ff0344,,,,,,,,,
52,13235503,13239969,Cap-0011,Geometry Group,,3e260347-f61e-5671-a52d-0ca04ef49b63,,,,,,,,,
53,13246645,13251185,Flange-0113,Geometry Group,,1d0411f3-3fb4-56b8-9349-3624531b2aae,,,,,,,,,
54,13251642,13256181,Flange-0114,Geometry Group,,b08875b5-2d71-5dbc-9596-8d4c7f286082,,,,,,,,,
55,13256638,13261177,Flange-0115,Geometry Group,,497ae302-7606-5054-a35e-01e65093a3c6,,,,,,,,,
56,13261634,13266174,Flange-0601,Geometry Group,,53d33702-e54c-585c-b196-c076bb3f3b3c,,,,,,,,,
57,13266631,13271179,Flange-0602,Geometry Group,,33d65fc9-979e-57e5-8bd6-cb859e43a50b,,,,,,,,,
58,13271636,13276161,Flange-0604,Geometry Group,,00a7705f-05a5-5ab2-853c-20ce7a97ae72,,,,,,,,,
59,13276618,13281153,Flange-0605,Geometry Group,,e2f831b0-8411-541e-9754-e8254e96415e,,,,,,,,,
60,13281610,13286145,Flange-0616,Geometry Group,,c1616ed8-e940-5a6f-ab26-fd3f6acba464,,,,,,,,,
61,13292834,13297314,Cap-0201,Geometry Group,,3e29de29-383d-5880-981f-af8d29a07b18,,,,,,,,,
62,13300732,13305272,Flange-0121,Geometry Group,,11d13564-68b1-537d-896c-37002506ee39,,,,,,,,,
63,13305729,13310268,Flange-0122,Geometry Group,,77af4af6-5b31-5269-b32d-c25072828a20,,,,,,,,,
64,13310725,13315264,Flange-0612,Geometry Group,,dbc2d1b8-77dd-5be7-a361-0fad5a19d8f5,,,,,,,,,
65,13315721,13320261,Flange-0613,Geometry Group,,4e8d7167-1a76-5552-a014-50eb35d4e568,,,,,,,,,
66,13320718,13325266,Flange-0614,Geometry Group,,4892abb7-2dde-52dc-a903-f7b95bb541bb,,,,,,,,,
67,13363265,13366908,Aspects,Geometry Group,,09ddcc1b-b7c1-566c-b324-79794db85558,,,,,,,,,
68,13371374,13375086,Aspects,Geometry Group,,dab557cd-c185-51a4-8180-772adfecd911,,,,,,,,,
69,13377362,13381064,Aspects,Geometry Group,,1fb34780-fccc-5fc2-a3d0-57bb9c25b142,,,,,,,,,
70,13386714,13391279,Flange-1601,Geometry Group,,982c99ba-4a7d-5879-945f-0ece42a44651,,,,,,,,,
71,13393281,13397837,Flange-1602,Geometry Group,,dd64df23-c1fc-5ad1-8a60-a7a965e299c3,,,,,,,,,
72,13449705,13454250,Flange-0008,Geometry Group,,ab8c04f9-2dbf-5d95-b971-a675ce552fba,,,,,,,,,
73,13454707,13459252,Flange-0009,Geometry Group,,0d810faf-bfb0-55ce-b2ff-464e1f2e5232,,,,,,,,,
74,13459709,13464238,Flange-0020,Geometry Group,,d7ec28ae-1e3e-5aa4-8bb1-6a35bacf275c,,,,,,,,,
75,13464695,13469224,Flange-0021,Geometry Group,,38af4fac-abf1-5a70-b7ba-a3855acc6deb,,,,,,,,,
76,13469681,13474211,Flange-0026,Geometry Group,,15738abf-45c9-5edf-9cf6-7881e604dce8,,,,,,,,,
77,13474668,13479198,Flange-0027,Geometry Group,,2231bdb6-9cb4-56ab-a392-c283d9d4df56,,,,,,,,,
78,13486602,13491140,Flange-1401,Geometry Group,,a52b760c-0766-54b6-b21b-17f38fc5e68c,,,,,,,,,
79,13493838,13498369,Flange-2213,Geometry Group,,e9fa4346-ef79-5c9e-9ff4-690668f86967,,,,,,,,,
80,13501063,13505610,Flange-0024,Geometry Group,,90c112a5-f82b-5571-adb6-a00956da36af,,,,,,,,,
81,13506067,13510614,Flange-0025,Geometry Group,,b989570b-90dd-5d2f-85d8-198c94110765,,,,,,,,,
82,13512157,13516682,Weldolet-0002,Geometry Group,,5bd35cfd-4458-5488-8e03-a9f331c02186,,,,,,,,,
83,13518652,13523187,Flange-0006,Geometry Group,,168644fd-a7bb-53da-b826-9cd2ef3d23c2,,,,,,,,,
84,13526976,13531499,Flange-0007,Geometry Group,,00294328-8b61-5a7e-80ef-c6123cb0eceb,,,,,,,,,
85,13533404,13537916,Sockolet-0301,Geometry Group,,e08229c7-6d88-5107-9ae5-ae0d443f9442,,,,,,,,,
86,13542898,13547418,Flange-2212,Geometry Group,,3b40cdf5-5fe5-52a7-a8bf-1341e3595edc,,,,,,,,,
87,13560067,13564582,Flange-0701,Geometry Group,,fef179d1-3659-565d-a466-58823b5ebc3c,,,,,,,,,
