object_id,mesh_index,distance,confidence,gold_cx,gold_cy,gold_cz,fbx_cx,fbx_cy,fbx_cz
df31434a-6fd0-22ba-85f7-82ec7ad6c865,117,30.1715511796729,likely,1.524,-1.524,6.81990000209808,-27.56280528744667,1.779690671942023,14.12509587229273
b968b2e6-bdde-2894-1c0a-924de147d31f,49,28.978444603772328,ambiguous,26.3556750000006,14.1251339798916,1.779525,-1.5240000075912579,6.962227845455712,-1.5621435703732287
78ecfec0-2b11-3cd3-ec0d-4d58883ac43b,115,55.77877721245795,ambiguous,26.6350750000002,14.1251339798916,1.779525,-26.340805053710938,1.7795250036374286,14.125133889692801
1ea3d6fd-2626-36cd-3474-5b0d09722ad8,116,56.98443233659974,ambiguous,27.5939249992462,14.1251339798916,1.779525,-26.64994478225708,1.7795250036374286,14.125133889692801
8c52cce2-b5d6-c4af-b3f4-88580890a6fc,741,200.80308854137672,ambiguous,50.6727250000001,137.71,0.522300000000001,-15.521282807544425,5.964000053979732,136.84260368347168
cbf1f4a7-294c-d6f5-8967-67429ee44b42,630,188.5695006064875,ambiguous,50.9838749999993,137.71,0.522300000000001,-17.843021481125444,7.743783529157992,118.54813385009766
fc6371ed-b85f-2390-3541-d03ec89c0c3a,742,200.28758729620884,ambiguous,48.8099999999999,138.46,1.26272500000019,-15.521282807544425,5.964000053979732,136.98823356628418
c3301a05-67d5-ddef-94e1-9a4e29bd7a16,447,215.90388510737446,ambiguous,40.1976124984092,144.46,1.59399999999999,-43.159999979866875,1.7540005790414634,140.52201652526855
1c807be1-99bf-b9e5-50c1-33bda99544be,434,216.73768699257678,ambiguous,39.2123875015907,144.46,1.59399999999999,-39.234004497528076,1.5939999942978222,144.46000221040515
f7112ddf-6422-5af7-c8ae-48a20c5af67d,441,216.39268824525126,ambiguous,40.2039625000006,144.46,4.694,-38.159999869487905,0.5350000048401179,146.0109462738037
4a7ca855-9150-c7be-ccdf-485b072a6f21,453,216.18793908140518,ambiguous,39.2060374999993,144.46,4.69399999999999,-39.49300003051758,1.373088613152504,146.36200021814417
7011c626-e74a-ab3e-cf56-991cdaa8c07c,463,217.23243731368544,ambiguous,39.4930000000004,145.63134999987,0.534999999999997,-43.15999984741211,0.5540000024355121,139.49893760681152
5823bd28-2117-c4ba-d31c-42b5bc8ce789,462,217.7319381081123,ambiguous,39.4930000000004,145.993300000131,0.534999999999997,-43.15999984741211,0.5540000024355121,139.90174102783203
c1751f37-1942-a7aa-09e7-3e2bbddf0bd2,445,218.06186871847586,ambiguous,39.4930000000004,146.217137500001,0.534999999999997,-43.159999979866875,0.5540000053674534,140.18352508544922
